Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	
3,328125E+2	5,728151E-1	3,328125E+2	5,295413E-1	3,328125E+2	5,007351E-1	3,328125E+2	4,660399E-1	3,328125E+2	4,286751E-1
3,343750E+2	5,955388E-1	3,343750E+2	5,294423E-1	3,343750E+2	4,942082E-1	3,343750E+2	4,606445E-1	3,343750E+2	4,205702E-1
3,359375E+2	5,392684E-1	3,359375E+2	4,964855E-1	3,359375E+2	4,535536E-1	3,359375E+2	4,129877E-1	3,359375E+2	3,739538E-1
3,375000E+2	5,635524E-1	3,375000E+2	5,316612E-1	3,375000E+2	4,926975E-1	3,375000E+2	4,442790E-1	3,375000E+2	4,169220E-1
3,390625E+2	5,789429E-1	3,390625E+2	5,460586E-1	3,390625E+2	5,152733E-1	3,390625E+2	4,687798E-1	3,390625E+2	4,218814E-1
3,406250E+2	5,656681E-1	3,406250E+2	5,370810E-1	3,406250E+2	4,871392E-1	3,406250E+2	4,550146E-1	3,406250E+2	3,852853E-1
3,421875E+2	5,797761E-1	3,421875E+2	5,313002E-1	3,421875E+2	4,743322E-1	3,421875E+2	4,440775E-1	3,421875E+2	3,984307E-1
3,437500E+2	5,739774E-1	3,437500E+2	5,368899E-1	3,437500E+2	4,906214E-1	3,437500E+2	4,490762E-1	3,437500E+2	4,019620E-1
3,453125E+2	5,567750E-1	3,453125E+2	5,417681E-1	3,453125E+2	4,957245E-1	3,453125E+2	4,500994E-1	3,453125E+2	4,079838E-1
3,468750E+2	5,941735E-1	3,468750E+2	5,638570E-1	3,468750E+2	5,172780E-1	3,468750E+2	4,585358E-1	3,468750E+2	4,318603E-1
3,484375E+2	6,233194E-1	3,484375E+2	5,806312E-1	3,484375E+2	5,388241E-1	3,484375E+2	4,774520E-1	3,484375E+2	4,381004E-1
3,500000E+2	6,256415E-1	3,500000E+2	5,651126E-1	3,500000E+2	5,192776E-1	3,500000E+2	4,629556E-1	3,500000E+2	4,274208E-1
3,515625E+2	6,127978E-1	3,515625E+2	5,402776E-1	3,515625E+2	4,848168E-1	3,515625E+2	4,351401E-1	3,515625E+2	3,930347E-1
3,531250E+2	6,652199E-1	3,531250E+2	5,593167E-1	3,531250E+2	4,783291E-1	3,531250E+2	4,408337E-1	3,531250E+2	3,880391E-1
3,546875E+2	6,899245E-1	3,546875E+2	5,897138E-1	3,546875E+2	5,152111E-1	3,546875E+2	4,475324E-1	3,546875E+2	4,172341E-1
3,562500E+2	6,304993E-1	3,562500E+2	6,039935E-1	3,562500E+2	5,430238E-1	3,562500E+2	4,618147E-1	3,562500E+2	4,292394E-1
3,578125E+2	6,450750E-1	3,578125E+2	6,157534E-1	3,578125E+2	5,477286E-1	3,578125E+2	4,921116E-1	3,578125E+2	4,640878E-1
3,593750E+2	6,493759E-1	3,593750E+2	6,215890E-1	3,593750E+2	5,395123E-1	3,593750E+2	4,642272E-1	3,593750E+2	4,392130E-1
3,609375E+2	6,569765E-1	3,609375E+2	6,207198E-1	3,609375E+2	5,350877E-1	3,609375E+2	4,732721E-1	3,609375E+2	4,314329E-1
3,625000E+2	7,200184E-1	3,625000E+2	6,368737E-1	3,625000E+2	5,690151E-1	3,625000E+2	5,066959E-1	3,625000E+2	4,810840E-1
3,640625E+2	7,154580E-1	3,640625E+2	6,326513E-1	3,640625E+2	5,669982E-1	3,640625E+2	4,943484E-1	3,640625E+2	4,667495E-1
3,656250E+2	7,312100E-1	3,656250E+2	6,376192E-1	3,656250E+2	5,674059E-1	3,656250E+2	4,988205E-1	3,656250E+2	4,498251E-1
3,671875E+2	7,189796E-1	3,671875E+2	6,573883E-1	3,671875E+2	5,768423E-1	3,671875E+2	5,173295E-1	3,671875E+2	4,500055E-1
3,687500E+2	7,234679E-1	3,687500E+2	6,475782E-1	3,687500E+2	5,521287E-1	3,687500E+2	5,066662E-1	3,687500E+2	4,280433E-1
3,703125E+2	7,287172E-1	3,703125E+2	6,533303E-1	3,703125E+2	5,454516E-1	3,703125E+2	4,904751E-1	3,703125E+2	4,366673E-1
3,718750E+2	7,125089E-1	3,718750E+2	6,554881E-1	3,718750E+2	5,440614E-1	3,718750E+2	4,792062E-1	3,718750E+2	4,460453E-1
3,734375E+2	7,364041E-1	3,734375E+2	6,621186E-1	3,734375E+2	5,600494E-1	3,734375E+2	5,012204E-1	3,734375E+2	4,410898E-1
3,750000E+2	7,620086E-1	3,750000E+2	6,767071E-1	3,750000E+2	5,724539E-1	3,750000E+2	5,126955E-1	3,750000E+2	4,547070E-1
3,765625E+2	7,599091E-1	3,765625E+2	6,770894E-1	3,765625E+2	5,664112E-1	3,765625E+2	4,987175E-1	3,765625E+2	4,526534E-1
3,781250E+2	7,816891E-1	3,781250E+2	6,906325E-1	3,781250E+2	5,893775E-1	3,781250E+2	5,312686E-1	3,781250E+2	4,594713E-1
3,796875E+2	7,769390E-1	3,796875E+2	6,893136E-1	3,796875E+2	5,864875E-1	3,796875E+2	5,225404E-1	3,796875E+2	4,473829E-1
3,812500E+2	7,671238E-1	3,812500E+2	6,781403E-1	3,812500E+2	5,617260E-1	3,812500E+2	4,967441E-1	3,812500E+2	4,295554E-1
3,828125E+2	7,756668E-1	3,828125E+2	6,844336E-1	3,828125E+2	5,596483E-1	3,828125E+2	4,940382E-1	3,828125E+2	4,173575E-1
3,843750E+2	7,765202E-1	3,843750E+2	7,036772E-1	3,843750E+2	5,866695E-1	3,843750E+2	5,169907E-1	3,843750E+2	4,496111E-1
3,859375E+2	7,951248E-1	3,859375E+2	7,119517E-1	3,859375E+2	6,031458E-1	3,859375E+2	5,200754E-1	3,859375E+2	4,598243E-1
3,875000E+2	8,107659E-1	3,875000E+2	7,211071E-1	3,875000E+2	6,122294E-1	3,875000E+2	5,327378E-1	3,875000E+2	4,759925E-1
3,890625E+2	8,204028E-1	3,890625E+2	7,220450E-1	3,890625E+2	5,845350E-1	3,890625E+2	5,203728E-1	3,890625E+2	4,626037E-1
3,906250E+2	8,143699E-1	3,906250E+2	7,236079E-1	3,906250E+2	5,781755E-1	3,906250E+2	5,059469E-1	3,906250E+2	4,338686E-1
3,921875E+2	8,161216E-1	3,921875E+2	7,484831E-1	3,921875E+2	6,206587E-1	3,921875E+2	5,529137E-1	3,921875E+2	4,795134E-1
3,937500E+2	8,264846E-1	3,937500E+2	7,409656E-1	3,937500E+2	6,074578E-1	3,937500E+2	5,198037E-1	3,937500E+2	4,734185E-1
3,953125E+2	8,314653E-1	3,953125E+2	7,437792E-1	3,953125E+2	5,961212E-1	3,953125E+2	5,128962E-1	3,953125E+2	4,603948E-1
3,968750E+2	8,296865E-1	3,968750E+2	7,493104E-1	3,968750E+2	5,976116E-1	3,968750E+2	5,168959E-1	3,968750E+2	4,528741E-1
3,984375E+2	8,433790E-1	3,984375E+2	7,462746E-1	3,984375E+2	6,076267E-1	3,984375E+2	5,176328E-1	3,984375E+2	4,507299E-1
4,000000E+2	8,390424E-1	4,000000E+2	7,459427E-1	4,000000E+2	6,087524E-1	4,000000E+2	5,199723E-1	4,000000E+2	4,426998E-1
4,015625E+2	8,444600E-1	4,015625E+2	7,625505E-1	4,015625E+2	6,184375E-1	4,015625E+2	5,392696E-1	4,015625E+2	4,675463E-1
4,031250E+2	8,545193E-1	4,031250E+2	7,736079E-1	4,031250E+2	6,224840E-1	4,031250E+2	5,421042E-1	4,031250E+2	4,860258E-1
4,046875E+2	8,655963E-1	4,046875E+2	7,742417E-1	4,046875E+2	6,215892E-1	4,046875E+2	5,457259E-1	4,046875E+2	4,744121E-1
4,062500E+2	8,653222E-1	4,062500E+2	7,763492E-1	4,062500E+2	6,247225E-1	4,062500E+2	5,501581E-1	4,062500E+2	4,822188E-1
4,078125E+2	8,646522E-1	4,078125E+2	7,836971E-1	4,078125E+2	6,386464E-1	4,078125E+2	5,566026E-1	4,078125E+2	4,784281E-1
4,093750E+2	8,695679E-1	4,093750E+2	7,941050E-1	4,093750E+2	6,484270E-1	4,093750E+2	5,713544E-1	4,093750E+2	4,703771E-1
4,109375E+2	8,780233E-1	4,109375E+2	7,914660E-1	4,109375E+2	6,483155E-1	4,109375E+2	5,517058E-1	4,109375E+2	4,667430E-1
4,125000E+2	8,731587E-1	4,125000E+2	7,903539E-1	4,125000E+2	6,454422E-1	4,125000E+2	5,370935E-1	4,125000E+2	4,695211E-1
4,140625E+2	8,682953E-1	4,140625E+2	7,766051E-1	4,140625E+2	6,150421E-1	4,140625E+2	5,140484E-1	4,140625E+2	4,289708E-1
4,156250E+2	8,716608E-1	4,156250E+2	7,835565E-1	4,156250E+2	6,162052E-1	4,156250E+2	5,289085E-1	4,156250E+2	4,481437E-1
4,171875E+2	8,786401E-1	4,171875E+2	7,974720E-1	4,171875E+2	6,399874E-1	4,171875E+2	5,532768E-1	4,171875E+2	4,740550E-1
4,187500E+2	8,881451E-1	4,187500E+2	8,015841E-1	4,187500E+2	6,373064E-1	4,187500E+2	5,510633E-1	4,187500E+2	4,737567E-1
4,203125E+2	8,841156E-1	4,203125E+2	8,044081E-1	4,203125E+2	6,400482E-1	4,203125E+2	5,536855E-1	4,203125E+2	4,802863E-1
4,218750E+2	8,941272E-1	4,218750E+2	8,080426E-1	4,218750E+2	6,358126E-1	4,218750E+2	5,459734E-1	4,218750E+2	4,700780E-1
4,234375E+2	8,959220E-1	4,234375E+2	8,069295E-1	4,234375E+2	6,319246E-1	4,234375E+2	5,367626E-1	4,234375E+2	4,627186E-1
4,250000E+2	8,971495E-1	4,250000E+2	8,129384E-1	4,250000E+2	6,487323E-1	4,250000E+2	5,583410E-1	4,250000E+2	4,765731E-1
4,265625E+2	8,851262E-1	4,265625E+2	8,017300E-1	4,265625E+2	6,367441E-1	4,265625E+2	5,272364E-1	4,265625E+2	4,581474E-1
4,281250E+2	8,846079E-1	4,281250E+2	7,973448E-1	4,281250E+2	6,290413E-1	4,281250E+2	5,120902E-1	4,281250E+2	4,369065E-1
4,296875E+2	8,898392E-1	4,296875E+2	7,957256E-1	4,296875E+2	6,233005E-1	4,296875E+2	5,101559E-1	4,296875E+2	4,219544E-1
4,312500E+2	8,855446E-1	4,312500E+2	8,024124E-1	4,312500E+2	6,169261E-1	4,312500E+2	5,089940E-1	4,312500E+2	4,301394E-1
4,328125E+2	8,943949E-1	4,328125E+2	8,104694E-1	4,328125E+2	6,342286E-1	4,328125E+2	5,251329E-1	4,328125E+2	4,461710E-1
4,343750E+2	8,894067E-1	4,343750E+2	8,095691E-1	4,343750E+2	6,421729E-1	4,343750E+2	5,350264E-1	4,343750E+2	4,565205E-1
4,359375E+2	8,899049E-1	4,359375E+2	8,175347E-1	4,359375E+2	6,434140E-1	4,359375E+2	5,471283E-1	4,359375E+2	4,688409E-1
4,375000E+2	8,933834E-1	4,375000E+2	8,209603E-1	4,375000E+2	6,462340E-1	4,375000E+2	5,485882E-1	4,375000E+2	4,605289E-1
4,390625E+2	8,978094E-1	4,390625E+2	8,236500E-1	4,390625E+2	6,544843E-1	4,390625E+2	5,416595E-1	4,390625E+2	4,567018E-1
4,406250E+2	8,906286E-1	4,406250E+2	8,204646E-1	4,406250E+2	6,550866E-1	4,406250E+2	5,449748E-1	4,406250E+2	4,667084E-1
4,421875E+2	8,810797E-1	4,421875E+2	8,225999E-1	4,421875E+2	6,561005E-1	4,421875E+2	5,455471E-1	4,421875E+2	4,784980E-1
4,437500E+2	8,844760E-1	4,437500E+2	8,237978E-1	4,437500E+2	6,553142E-1	4,437500E+2	5,474891E-1	4,437500E+2	4,685513E-1
4,453125E+2	8,849382E-1	4,453125E+2	8,255790E-1	4,453125E+2	6,566477E-1	4,453125E+2	5,529224E-1	4,453125E+2	4,639514E-1
4,468750E+2	8,829047E-1	4,468750E+2	8,231394E-1	4,468750E+2	6,585970E-1	4,468750E+2	5,496661E-1	4,468750E+2	4,643828E-1
4,484375E+2	8,651686E-1	4,484375E+2	8,198537E-1	4,484375E+2	6,536218E-1	4,484375E+2	5,459364E-1	4,484375E+2	4,640414E-1
4,500000E+2	8,670796E-1	4,500000E+2	8,185702E-1	4,500000E+2	6,410819E-1	4,500000E+2	5,396164E-1	4,500000E+2	4,554288E-1
4,515625E+2	8,654778E-1	4,515625E+2	8,167140E-1	4,515625E+2	6,425291E-1	4,515625E+2	5,402036E-1	4,515625E+2	4,485470E-1
4,531250E+2	8,665286E-1	4,531250E+2	8,230306E-1	4,531250E+2	6,611211E-1	4,531250E+2	5,546809E-1	4,531250E+2	4,791526E-1
4,546875E+2	8,616587E-1	4,546875E+2	8,186982E-1	4,546875E+2	6,534529E-1	4,546875E+2	5,557428E-1	4,546875E+2	4,754129E-1
4,562500E+2	8,616777E-1	4,562500E+2	8,229467E-1	4,562500E+2	6,578426E-1	4,562500E+2	5,602654E-1	4,562500E+2	4,866070E-1
4,578125E+2	8,603134E-1	4,578125E+2	8,186470E-1	4,578125E+2	6,590847E-1	4,578125E+2	5,488366E-1	4,578125E+2	4,661488E-1
4,593750E+2	8,565549E-1	4,593750E+2	8,222148E-1	4,593750E+2	6,694474E-1	4,593750E+2	5,617735E-1	4,593750E+2	4,699618E-1
4,609375E+2	8,537524E-1	4,609375E+2	8,253702E-1	4,609375E+2	6,685827E-1	4,609375E+2	5,727404E-1	4,609375E+2	4,822432E-1
4,625000E+2	8,498134E-1	4,625000E+2	8,237843E-1	4,625000E+2	6,655054E-1	4,625000E+2	5,636963E-1	4,625000E+2	4,756199E-1
4,640625E+2	8,506758E-1	4,640625E+2	8,238289E-1	4,640625E+2	6,804622E-1	4,640625E+2	5,694663E-1	4,640625E+2	4,913613E-1
4,656250E+2	8,447025E-1	4,656250E+2	8,155868E-1	4,656250E+2	6,698373E-1	4,656250E+2	5,546984E-1	4,656250E+2	4,760417E-1
4,671875E+2	8,417670E-1	4,671875E+2	8,145201E-1	4,671875E+2	6,670850E-1	4,671875E+2	5,527578E-1	4,671875E+2	4,673053E-1
4,687500E+2	8,327104E-1	4,687500E+2	8,058174E-1	4,687500E+2	6,562834E-1	4,687500E+2	5,484240E-1	4,687500E+2	4,603019E-1
4,703125E+2	8,298615E-1	4,703125E+2	8,058594E-1	4,703125E+2	6,536124E-1	4,703125E+2	5,618692E-1	4,703125E+2	4,631671E-1
4,718750E+2	8,212623E-1	4,718750E+2	8,016792E-1	4,718750E+2	6,575018E-1	4,718750E+2	5,579685E-1	4,718750E+2	4,653488E-1
4,734375E+2	8,128793E-1	4,734375E+2	7,941885E-1	4,734375E+2	6,571692E-1	4,734375E+2	5,409370E-1	4,734375E+2	4,549121E-1
4,750000E+2	8,165053E-1	4,750000E+2	7,994965E-1	4,750000E+2	6,623304E-1	4,750000E+2	5,538020E-1	4,750000E+2	4,667626E-1
4,765625E+2	7,996258E-1	4,765625E+2	7,959911E-1	4,765625E+2	6,591211E-1	4,765625E+2	5,447384E-1	4,765625E+2	4,623615E-1
4,781250E+2	8,080497E-1	4,781250E+2	8,006267E-1	4,781250E+2	6,647972E-1	4,781250E+2	5,622008E-1	4,781250E+2	4,802766E-1
4,796875E+2	8,026969E-1	4,796875E+2	7,924260E-1	4,796875E+2	6,653131E-1	4,796875E+2	5,614084E-1	4,796875E+2	4,788981E-1
4,812500E+2	7,938845E-1	4,812500E+2	7,891116E-1	4,812500E+2	6,558693E-1	4,812500E+2	5,508992E-1	4,812500E+2	4,711751E-1
4,828125E+2	7,925985E-1	4,828125E+2	7,852478E-1	4,828125E+2	6,552891E-1	4,828125E+2	5,434727E-1	4,828125E+2	4,563032E-1
4,843750E+2	7,825929E-1	4,843750E+2	7,785768E-1	4,843750E+2	6,584727E-1	4,843750E+2	5,441420E-1	4,843750E+2	4,556038E-1
4,859375E+2	7,814450E-1	4,859375E+2	7,827081E-1	4,859375E+2	6,702032E-1	4,859375E+2	5,577316E-1	4,859375E+2	4,652051E-1
4,875000E+2	7,810910E-1	4,875000E+2	7,789624E-1	4,875000E+2	6,642819E-1	4,875000E+2	5,649772E-1	4,875000E+2	4,767066E-1
4,890625E+2	7,674900E-1	4,890625E+2	7,751686E-1	4,890625E+2	6,545559E-1	4,890625E+2	5,540702E-1	4,890625E+2	4,697496E-1
4,906250E+2	7,672036E-1	4,906250E+2	7,750896E-1	4,906250E+2	6,576827E-1	4,906250E+2	5,644899E-1	4,906250E+2	4,784079E-1
4,921875E+2	7,658043E-1	4,921875E+2	7,721248E-1	4,921875E+2	6,628393E-1	4,921875E+2	5,595049E-1	4,921875E+2	4,752872E-1
4,937500E+2	7,586039E-1	4,937500E+2	7,654901E-1	4,937500E+2	6,632030E-1	4,937500E+2	5,517875E-1	4,937500E+2	4,753369E-1
4,953125E+2	7,422856E-1	4,953125E+2	7,644005E-1	4,953125E+2	6,641896E-1	4,953125E+2	5,597779E-1	4,953125E+2	4,883438E-1
4,968750E+2	7,296331E-1	4,968750E+2	7,581741E-1	4,968750E+2	6,548159E-1	4,968750E+2	5,499127E-1	4,968750E+2	4,695523E-1
4,984375E+2	7,247897E-1	4,984375E+2	7,503751E-1	4,984375E+2	6,452720E-1	4,984375E+2	5,469802E-1	4,984375E+2	4,620241E-1
5,000000E+2	7,375736E-1	5,000000E+2	7,549959E-1	5,000000E+2	6,520008E-1	5,000000E+2	5,579160E-1	5,000000E+2	4,626475E-1
5,015625E+2	7,290771E-1	5,015625E+2	7,488893E-1	5,015625E+2	6,567529E-1	5,015625E+2	5,628471E-1	5,015625E+2	4,704222E-1
5,031250E+2	7,143176E-1	5,031250E+2	7,398501E-1	5,031250E+2	6,431765E-1	5,031250E+2	5,446143E-1	5,031250E+2	4,513858E-1
5,046875E+2	6,988674E-1	5,046875E+2	7,231962E-1	5,046875E+2	6,332631E-1	5,046875E+2	5,336454E-1	5,046875E+2	4,335005E-1
5,062500E+2	6,950416E-1	5,062500E+2	7,245191E-1	5,062500E+2	6,366835E-1	5,062500E+2	5,263474E-1	5,062500E+2	4,439522E-1
5,078125E+2	7,207334E-1	5,078125E+2	7,314451E-1	5,078125E+2	6,511254E-1	5,078125E+2	5,383992E-1	5,078125E+2	4,607268E-1
5,093750E+2	7,016334E-1	5,093750E+2	7,175387E-1	5,093750E+2	6,418564E-1	5,093750E+2	5,321431E-1	5,093750E+2	4,510836E-1
5,109375E+2	6,736348E-1	5,109375E+2	7,092312E-1	5,109375E+2	6,416425E-1	5,109375E+2	5,354190E-1	5,109375E+2	4,598685E-1
5,125000E+2	6,708631E-1	5,125000E+2	7,167011E-1	5,125000E+2	6,501845E-1	5,125000E+2	5,529261E-1	5,125000E+2	4,679195E-1
5,140625E+2	6,886753E-1	5,140625E+2	7,193675E-1	5,140625E+2	6,370136E-1	5,140625E+2	5,594336E-1	5,140625E+2	4,680070E-1
5,156250E+2	6,724259E-1	5,156250E+2	7,098666E-1	5,156250E+2	6,379431E-1	5,156250E+2	5,482257E-1	5,156250E+2	4,565177E-1
5,171875E+2	6,611529E-1	5,171875E+2	7,085607E-1	5,171875E+2	6,328868E-1	5,171875E+2	5,375429E-1	5,171875E+2	4,498494E-1
5,187500E+2	6,686312E-1	5,187500E+2	7,005878E-1	5,187500E+2	6,246216E-1	5,187500E+2	5,334155E-1	5,187500E+2	4,436619E-1
5,203125E+2	6,724015E-1	5,203125E+2	6,996793E-1	5,203125E+2	6,322112E-1	5,203125E+2	5,323655E-1	5,203125E+2	4,568814E-1
5,218750E+2	6,605044E-1	5,218750E+2	6,973457E-1	5,218750E+2	6,396451E-1	5,218750E+2	5,268689E-1	5,218750E+2	4,730225E-1
5,234375E+2	6,601256E-1	5,234375E+2	6,926589E-1	5,234375E+2	6,302679E-1	5,234375E+2	5,323461E-1	5,234375E+2	4,744236E-1
5,250000E+2	6,484531E-1	5,250000E+2	6,845215E-1	5,250000E+2	6,345812E-1	5,250000E+2	5,457468E-1	5,250000E+2	4,651314E-1
5,265625E+2	6,503459E-1	5,265625E+2	6,764363E-1	5,265625E+2	6,334850E-1	5,265625E+2	5,368489E-1	5,265625E+2	4,593127E-1
5,281250E+2	6,491712E-1	5,281250E+2	6,772973E-1	5,281250E+2	6,357808E-1	5,281250E+2	5,349545E-1	5,281250E+2	4,566133E-1
5,296875E+2	6,356934E-1	5,296875E+2	6,682556E-1	5,296875E+2	6,310858E-1	5,296875E+2	5,272547E-1	5,296875E+2	4,425153E-1
5,312500E+2	6,207924E-1	5,312500E+2	6,603698E-1	5,312500E+2	6,258573E-1	5,312500E+2	5,242878E-1	5,312500E+2	4,475758E-1
5,328125E+2	6,267481E-1	5,328125E+2	6,584907E-1	5,328125E+2	6,184223E-1	5,328125E+2	5,232314E-1	5,328125E+2	4,547872E-1
5,343750E+2	6,274679E-1	5,343750E+2	6,579806E-1	5,343750E+2	6,160605E-1	5,343750E+2	5,304218E-1	5,343750E+2	4,683610E-1
5,359375E+2	6,047072E-1	5,359375E+2	6,490104E-1	5,359375E+2	6,071403E-1	5,359375E+2	5,325311E-1	5,359375E+2	4,395211E-1
5,375000E+2	5,980291E-1	5,375000E+2	6,458347E-1	5,375000E+2	6,028337E-1	5,375000E+2	5,220758E-1	5,375000E+2	4,447213E-1
5,390625E+2	5,989635E-1	5,390625E+2	6,445763E-1	5,390625E+2	6,189791E-1	5,390625E+2	5,224043E-1	5,390625E+2	4,643526E-1
5,406250E+2	5,970490E-1	5,406250E+2	6,369568E-1	5,406250E+2	6,152028E-1	5,406250E+2	5,326681E-1	5,406250E+2	4,466765E-1
5,421875E+2	5,644884E-1	5,421875E+2	6,179543E-1	5,421875E+2	5,967489E-1	5,421875E+2	5,202542E-1	5,421875E+2	4,303824E-1
5,437500E+2	5,592247E-1	5,437500E+2	6,299937E-1	5,437500E+2	6,043207E-1	5,437500E+2	5,243628E-1	5,437500E+2	4,420790E-1
5,453125E+2	5,633977E-1	5,453125E+2	6,285058E-1	5,453125E+2	5,973193E-1	5,453125E+2	5,278974E-1	5,453125E+2	4,433162E-1
5,468750E+2	5,733857E-1	5,468750E+2	6,317210E-1	5,468750E+2	5,919521E-1	5,468750E+2	5,253974E-1	5,468750E+2	4,564275E-1
5,484375E+2	5,575055E-1	5,484375E+2	6,276982E-1	5,484375E+2	6,078176E-1	5,484375E+2	5,223697E-1	5,484375E+2	4,554880E-1
5,500000E+2	5,546839E-1	5,500000E+2	6,199837E-1	5,500000E+2	6,134124E-1	5,500000E+2	5,215646E-1	5,500000E+2	4,535114E-1
5,515625E+2	5,598037E-1	5,515625E+2	6,117147E-1	5,515625E+2	6,098826E-1	5,515625E+2	5,237170E-1	5,515625E+2	4,596711E-1
5,531250E+2	5,621150E-1	5,531250E+2	6,093722E-1	5,531250E+2	6,007003E-1	5,531250E+2	5,064655E-1	5,531250E+2	4,293333E-1
5,546875E+2	5,456617E-1	5,546875E+2	6,005859E-1	5,546875E+2	6,004376E-1	5,546875E+2	5,070360E-1	5,546875E+2	4,395563E-1
5,562500E+2	5,406750E-1	5,562500E+2	5,979498E-1	5,562500E+2	6,002277E-1	5,562500E+2	5,128998E-1	5,562500E+2	4,430112E-1
5,578125E+2	5,560806E-1	5,578125E+2	5,990450E-1	5,578125E+2	5,926020E-1	5,578125E+2	5,151287E-1	5,578125E+2	4,363870E-1
5,593750E+2	5,476138E-1	5,593750E+2	5,890250E-1	5,593750E+2	5,836117E-1	5,593750E+2	5,056571E-1	5,593750E+2	4,314888E-1
5,609375E+2	5,457764E-1	5,609375E+2	5,836460E-1	5,609375E+2	5,910145E-1	5,609375E+2	5,127862E-1	5,609375E+2	4,317289E-1
5,625000E+2	5,325559E-1	5,625000E+2	5,825190E-1	5,625000E+2	5,880866E-1	5,625000E+2	5,196684E-1	5,625000E+2	4,373811E-1
5,640625E+2	5,400933E-1	5,640625E+2	5,775113E-1	5,640625E+2	5,852520E-1	5,640625E+2	5,193084E-1	5,640625E+2	4,390285E-1
5,656250E+2	5,268583E-1	5,656250E+2	5,780902E-1	5,656250E+2	5,920841E-1	5,656250E+2	5,175508E-1	5,656250E+2	4,457189E-1
