Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,250000E+2	5,179223E-1	3,250000E+2	-7,162950E-1	3,250000E+2	5,070348E-1	3,250000E+2	-7,582563E-1	3,250000E+2	5,027080E-1	3,250000E+2	-7,579031E-1	3,250000E+2	5,064796E-1	3,250000E+2	-7,547716E-1
3,265625E+2	4,962813E-1	3,265625E+2	-7,307186E-1	3,265625E+2	5,012215E-1	3,265625E+2	-7,447989E-1	3,265625E+2	5,012901E-1	3,265625E+2	-7,577784E-1	3,265625E+2	5,055444E-1	3,265625E+2	-7,592332E-1
3,281250E+2	4,918360E-1	3,281250E+2	-7,601044E-1	3,281250E+2	4,912676E-1	3,281250E+2	-7,554177E-1	3,281250E+2	4,951092E-1	3,281250E+2	-7,690109E-1	3,281250E+2	4,921323E-1	3,281250E+2	-7,676128E-1
3,296875E+2	5,016156E-1	3,296875E+2	-7,640862E-1	3,296875E+2	5,001211E-1	3,296875E+2	-7,764702E-1	3,296875E+2	4,899429E-1	3,296875E+2	-7,760494E-1	3,296875E+2	4,908992E-1	3,296875E+2	-7,692369E-1
3,312500E+2	5,021473E-1	3,312500E+2	-7,783910E-1	3,312500E+2	4,843239E-1	3,312500E+2	-7,847428E-1	3,312500E+2	4,802343E-1	3,312500E+2	-7,840077E-1	3,312500E+2	4,752946E-1	3,312500E+2	-7,781697E-1
3,328125E+2	4,890034E-1	3,328125E+2	-7,708222E-1	3,328125E+2	4,756154E-1	3,328125E+2	-7,747040E-1	3,328125E+2	4,716377E-1	3,328125E+2	-7,812461E-1	3,328125E+2	4,638780E-1	3,328125E+2	-7,808534E-1
3,343750E+2	4,682914E-1	3,343750E+2	-8,054609E-1	3,343750E+2	4,543702E-1	3,343750E+2	-8,067520E-1	3,343750E+2	4,592713E-1	3,343750E+2	-7,998835E-1	3,343750E+2	4,584541E-1	3,343750E+2	-7,984285E-1
3,359375E+2	4,532343E-1	3,359375E+2	-7,637259E-1	3,359375E+2	4,311595E-1	3,359375E+2	-7,930356E-1	3,359375E+2	4,370118E-1	3,359375E+2	-7,973279E-1	3,359375E+2	4,422724E-1	3,359375E+2	-7,960463E-1
3,375000E+2	4,497143E-1	3,375000E+2	-7,601189E-1	3,375000E+2	4,315611E-1	3,375000E+2	-7,817468E-1	3,375000E+2	4,289222E-1	3,375000E+2	-7,863228E-1	3,375000E+2	4,323996E-1	3,375000E+2	-7,858718E-1
3,390625E+2	4,090643E-1	3,390625E+2	-7,907544E-1	3,390625E+2	4,177804E-1	3,390625E+2	-7,933152E-1	3,390625E+2	4,201262E-1	3,390625E+2	-7,957681E-1	3,390625E+2	4,229058E-1	3,390625E+2	-7,951639E-1
3,406250E+2	3,886740E-1	3,406250E+2	-8,402837E-1	3,406250E+2	3,955300E-1	3,406250E+2	-8,067562E-1	3,406250E+2	4,015876E-1	3,406250E+2	-8,039190E-1	3,406250E+2	3,998360E-1	3,406250E+2	-8,027888E-1
3,421875E+2	3,789858E-1	3,421875E+2	-7,895329E-1	3,421875E+2	3,905465E-1	3,421875E+2	-7,977801E-1	3,421875E+2	3,852299E-1	3,421875E+2	-7,878364E-1	3,421875E+2	3,894471E-1	3,421875E+2	-7,879818E-1
3,437500E+2	3,336664E-1	3,437500E+2	-7,759882E-1	3,437500E+2	3,677929E-1	3,437500E+2	-8,143263E-1	3,437500E+2	3,692661E-1	3,437500E+2	-8,097164E-1	3,437500E+2	3,661768E-1	3,437500E+2	-8,089984E-1
3,453125E+2	3,334874E-1	3,453125E+2	-8,511751E-1	3,453125E+2	3,534450E-1	3,453125E+2	-8,350834E-1	3,453125E+2	3,560861E-1	3,453125E+2	-8,373804E-1	3,453125E+2	3,577810E-1	3,453125E+2	-8,302049E-1
3,468750E+2	3,507151E-1	3,468750E+2	-8,255349E-1	3,468750E+2	3,560289E-1	3,468750E+2	-8,205330E-1	3,468750E+2	3,554157E-1	3,468750E+2	-8,276316E-1	3,468750E+2	3,547668E-1	3,468750E+2	-8,219088E-1
3,484375E+2	3,569248E-1	3,484375E+2	-8,296735E-1	3,484375E+2	3,438343E-1	3,484375E+2	-8,262998E-1	3,484375E+2	3,450529E-1	3,484375E+2	-8,317491E-1	3,484375E+2	3,455495E-1	3,484375E+2	-8,230225E-1
3,500000E+2	3,449022E-1	3,500000E+2	-8,044563E-1	3,500000E+2	3,181006E-1	3,500000E+2	-8,357879E-1	3,500000E+2	3,200831E-1	3,500000E+2	-8,374104E-1	3,500000E+2	3,191123E-1	3,500000E+2	-8,346898E-1
3,515625E+2	3,088411E-1	3,515625E+2	-8,203283E-1	3,515625E+2	3,091995E-1	3,515625E+2	-8,549363E-1	3,515625E+2	3,153773E-1	3,515625E+2	-8,417121E-1	3,515625E+2	3,140814E-1	3,515625E+2	-8,398800E-1
3,531250E+2	2,774874E-1	3,531250E+2	-8,379992E-1	3,531250E+2	2,672247E-1	3,531250E+2	-8,522836E-1	3,531250E+2	2,825398E-1	3,531250E+2	-8,372243E-1	3,531250E+2	2,801862E-1	3,531250E+2	-8,358122E-1
3,546875E+2	2,480930E-1	3,546875E+2	-8,443946E-1	3,546875E+2	2,448572E-1	3,546875E+2	-8,345617E-1	3,546875E+2	2,496158E-1	3,546875E+2	-8,318896E-1	3,546875E+2	2,494295E-1	3,546875E+2	-8,328711E-1
3,562500E+2	2,789363E-1	3,562500E+2	-8,497047E-1	3,562500E+2	2,473756E-1	3,562500E+2	-8,383101E-1	3,562500E+2	2,493158E-1	3,562500E+2	-8,355856E-1	3,562500E+2	2,475018E-1	3,562500E+2	-8,294278E-1
3,578125E+2	2,019661E-1	3,578125E+2	-8,736536E-1	3,578125E+2	2,307280E-1	3,578125E+2	-8,412460E-1	3,578125E+2	2,219728E-1	3,578125E+2	-8,444859E-1	3,578125E+2	2,191673E-1	3,578125E+2	-8,412907E-1
3,593750E+2	2,050373E-1	3,593750E+2	-8,500049E-1	3,593750E+2	2,081314E-1	3,593750E+2	-8,351007E-1	3,593750E+2	2,021049E-1	3,593750E+2	-8,407559E-1	3,593750E+2	1,964632E-1	3,593750E+2	-8,373141E-1
3,609375E+2	2,498639E-1	3,609375E+2	-8,582402E-1	3,609375E+2	2,064313E-1	3,609375E+2	-8,549059E-1	3,609375E+2	2,098069E-1	3,609375E+2	-8,509559E-1	3,609375E+2	2,095815E-1	3,609375E+2	-8,511768E-1
3,625000E+2	1,766527E-1	3,625000E+2	-8,171259E-1	3,625000E+2	1,838809E-1	3,625000E+2	-8,587723E-1	3,625000E+2	1,833920E-1	3,625000E+2	-8,546086E-1	3,625000E+2	1,927885E-1	3,625000E+2	-8,492225E-1
3,640625E+2	1,593595E-1	3,640625E+2	-8,046656E-1	3,640625E+2	1,726095E-1	3,640625E+2	-8,475085E-1	3,640625E+2	1,776608E-1	3,640625E+2	-8,468477E-1	3,640625E+2	1,736229E-1	3,640625E+2	-8,353593E-1
3,656250E+2	1,367130E-1	3,656250E+2	-8,536262E-1	3,656250E+2	1,535660E-1	3,656250E+2	-8,640948E-1	3,656250E+2	1,538785E-1	3,656250E+2	-8,601574E-1	3,656250E+2	1,598627E-1	3,656250E+2	-8,509011E-1
3,671875E+2	1,583821E-1	3,671875E+2	-9,017144E-1	3,671875E+2	1,518464E-1	3,671875E+2	-8,795155E-1	3,671875E+2	1,435197E-1	3,671875E+2	-8,702776E-1	3,671875E+2	1,437996E-1	3,671875E+2	-8,682109E-1
3,687500E+2	1,362952E-1	3,687500E+2	-8,584802E-1	3,687500E+2	1,315881E-1	3,687500E+2	-8,559664E-1	3,687500E+2	1,296926E-1	3,687500E+2	-8,409259E-1	3,687500E+2	1,311647E-1	3,687500E+2	-8,402590E-1
3,703125E+2	8,287708E-2	3,703125E+2	-8,304152E-1	3,703125E+2	8,991062E-2	3,703125E+2	-8,249251E-1	3,703125E+2	9,874366E-2	3,703125E+2	-8,254110E-1	3,703125E+2	1,011504E-1	3,703125E+2	-8,210533E-1
3,718750E+2	5,501285E-2	3,718750E+2	-8,202303E-1	3,718750E+2	6,736293E-2	3,718750E+2	-8,193894E-1	3,718750E+2	6,918441E-2	3,718750E+2	-8,298890E-1	3,718750E+2	6,413816E-2	3,718750E+2	-8,207770E-1
3,734375E+2	4,296103E-3	3,734375E+2	-8,373606E-1	3,734375E+2	4,273487E-2	3,734375E+2	-8,276765E-1	3,734375E+2	3,871224E-2	3,734375E+2	-8,247105E-1	3,734375E+2	3,994415E-2	3,734375E+2	-8,177980E-1
3,750000E+2	1,050529E-2	3,750000E+2	-8,784284E-1	3,750000E+2	1,405379E-2	3,750000E+2	-8,556949E-1	3,750000E+2	1,556652E-2	3,750000E+2	-8,358848E-1	3,750000E+2	1,709832E-2	3,750000E+2	-8,302195E-1
3,765625E+2	-2,614325E-2	3,765625E+2	-8,760813E-1	3,765625E+2	-1,390130E-2	3,765625E+2	-8,433227E-1	3,765625E+2	-5,719460E-3	3,765625E+2	-8,336266E-1	3,765625E+2	-7,611374E-3	3,765625E+2	-8,225056E-1
3,781250E+2	-1,576998E-2	3,781250E+2	-8,729239E-1	3,781250E+2	-2,366018E-2	3,781250E+2	-8,345080E-1	3,781250E+2	-2,520337E-2	3,781250E+2	-8,467968E-1	3,781250E+2	-2,980665E-2	3,781250E+2	-8,351027E-1
3,796875E+2	-4,177817E-2	3,796875E+2	-8,504534E-1	3,796875E+2	-6,776090E-2	3,796875E+2	-8,109375E-1	3,796875E+2	-5,550313E-2	3,796875E+2	-8,211392E-1	3,796875E+2	-5,204915E-2	3,796875E+2	-8,109634E-1
3,812500E+2	-5,730428E-2	3,812500E+2	-7,994829E-1	3,812500E+2	-8,670698E-2	3,812500E+2	-7,847585E-1	3,812500E+2	-8,730330E-2	3,812500E+2	-7,882596E-1	3,812500E+2	-7,693084E-2	3,812500E+2	-7,814100E-1
3,828125E+2	-6,853543E-2	3,828125E+2	-7,677800E-1	3,828125E+2	-9,541746E-2	3,828125E+2	-8,019592E-1	3,828125E+2	-8,549422E-2	3,828125E+2	-7,935149E-1	3,828125E+2	-8,883399E-2	3,828125E+2	-7,910253E-1
3,843750E+2	-1,182523E-1	3,843750E+2	-7,694658E-1	3,843750E+2	-1,090627E-1	3,843750E+2	-7,948302E-1	3,843750E+2	-1,175471E-1	3,843750E+2	-7,869251E-1	3,843750E+2	-1,104226E-1	3,843750E+2	-7,793402E-1
3,859375E+2	-1,634682E-1	3,859375E+2	-7,690264E-1	3,859375E+2	-1,340799E-1	3,859375E+2	-7,698642E-1	3,859375E+2	-1,423179E-1	3,859375E+2	-7,658927E-1	3,859375E+2	-1,380079E-1	3,859375E+2	-7,566840E-1
3,875000E+2	-1,812566E-1	3,875000E+2	-7,879272E-1	3,875000E+2	-1,684325E-1	3,875000E+2	-7,666360E-1	3,875000E+2	-1,627555E-1	3,875000E+2	-7,683594E-1	3,875000E+2	-1,579952E-1	3,875000E+2	-7,561171E-1
3,890625E+2	-1,892616E-1	3,890625E+2	-7,737112E-1	3,890625E+2	-1,818058E-1	3,890625E+2	-7,502519E-1	3,890625E+2	-1,797710E-1	3,890625E+2	-7,469853E-1	3,890625E+2	-1,719253E-1	3,890625E+2	-7,414827E-1
3,906250E+2	-2,091077E-1	3,906250E+2	-7,552849E-1	3,906250E+2	-2,102198E-1	3,906250E+2	-7,305994E-1	3,906250E+2	-2,044268E-1	3,906250E+2	-7,345360E-1	3,906250E+2	-2,044741E-1	3,906250E+2	-7,242463E-1
3,921875E+2	-2,033881E-1	3,921875E+2	-7,457686E-1	3,921875E+2	-2,237619E-1	3,921875E+2	-7,191039E-1	3,921875E+2	-2,379665E-1	3,921875E+2	-7,217702E-1	3,921875E+2	-2,265265E-1	3,921875E+2	-7,112645E-1
3,937500E+2	-2,199770E-1	3,937500E+2	-7,165455E-1	3,937500E+2	-2,448768E-1	3,937500E+2	-6,954143E-1	3,937500E+2	-2,545248E-1	3,937500E+2	-6,991157E-1	3,937500E+2	-2,523902E-1	3,937500E+2	-6,955131E-1
3,953125E+2	-2,627694E-1	3,953125E+2	-6,927862E-1	3,953125E+2	-2,730245E-1	3,953125E+2	-6,838617E-1	3,953125E+2	-2,752076E-1	3,953125E+2	-6,853706E-1	3,953125E+2	-2,674501E-1	3,953125E+2	-6,812449E-1
3,968750E+2	-3,029467E-1	3,968750E+2	-6,598276E-1	3,968750E+2	-3,062192E-1	3,968750E+2	-6,743597E-1	3,968750E+2	-3,095184E-1	3,968750E+2	-6,720255E-1	3,968750E+2	-2,963330E-1	3,968750E+2	-6,624841E-1
3,984375E+2	-3,231708E-1	3,984375E+2	-6,521820E-1	3,984375E+2	-3,186433E-1	3,984375E+2	-6,493658E-1	3,984375E+2	-3,197359E-1	3,984375E+2	-6,476583E-1	3,984375E+2	-3,117396E-1	3,984375E+2	-6,366307E-1
4,000000E+2	-3,385383E-1	4,000000E+2	-6,390463E-1	4,000000E+2	-3,398429E-1	4,000000E+2	-6,296080E-1	4,000000E+2	-3,378774E-1	4,000000E+2	-6,213545E-1	4,000000E+2	-3,337313E-1	4,000000E+2	-6,184497E-1
4,015625E+2	-3,578114E-1	4,015625E+2	-6,014709E-1	4,015625E+2	-3,714265E-1	4,015625E+2	-6,034210E-1	4,015625E+2	-3,697008E-1	4,015625E+2	-6,010414E-1	4,015625E+2	-3,632647E-1	4,015625E+2	-5,897217E-1
4,031250E+2	-3,816749E-1	4,031250E+2	-5,752563E-1	4,031250E+2	-3,866501E-1	4,031250E+2	-5,756736E-1	4,031250E+2	-3,906548E-1	4,031250E+2	-5,845190E-1	4,031250E+2	-3,802271E-1	4,031250E+2	-5,689234E-1
4,046875E+2	-3,776328E-1	4,046875E+2	-5,598772E-1	4,046875E+2	-3,990489E-1	4,046875E+2	-5,552790E-1	4,046875E+2	-4,049255E-1	4,046875E+2	-5,559224E-1	4,046875E+2	-3,855482E-1	4,046875E+2	-5,483918E-1
4,062500E+2	-4,043281E-1	4,062500E+2	-5,368047E-1	4,062500E+2	-4,201664E-1	4,062500E+2	-5,329506E-1	4,062500E+2	-4,247281E-1	4,062500E+2	-5,271794E-1	4,062500E+2	-4,119826E-1	4,062500E+2	-5,246164E-1
4,078125E+2	-4,444315E-1	4,078125E+2	-4,920191E-1	4,078125E+2	-4,575944E-1	4,078125E+2	-4,949528E-1	4,078125E+2	-4,533459E-1	4,078125E+2	-4,933944E-1	4,078125E+2	-4,364194E-1	4,078125E+2	-4,839000E-1
4,093750E+2	-4,572003E-1	4,093750E+2	-4,805740E-1	4,093750E+2	-4,625202E-1	4,093750E+2	-4,810516E-1	4,093750E+2	-4,657151E-1	4,093750E+2	-4,809848E-1	4,093750E+2	-4,497504E-1	4,093750E+2	-4,695159E-1
4,109375E+2	-4,785844E-1	4,109375E+2	-4,435427E-1	4,109375E+2	-4,847970E-1	4,109375E+2	-4,500740E-1	4,109375E+2	-4,824895E-1	4,109375E+2	-4,473163E-1	4,109375E+2	-4,719619E-1	4,109375E+2	-4,395876E-1
4,125000E+2	-4,896970E-1	4,125000E+2	-4,032562E-1	4,125000E+2	-4,918520E-1	4,125000E+2	-4,089944E-1	4,125000E+2	-4,970404E-1	4,125000E+2	-4,060370E-1	4,125000E+2	-4,789102E-1	4,125000E+2	-4,040794E-1
4,140625E+2	-5,059299E-1	4,140625E+2	-3,777421E-1	4,140625E+2	-5,083434E-1	4,140625E+2	-3,800362E-1	4,140625E+2	-5,053208E-1	4,140625E+2	-3,702444E-1	4,140625E+2	-4,866259E-1	4,140625E+2	-3,684370E-1
4,156250E+2	-5,153988E-1	4,156250E+2	-3,441879E-1	4,156250E+2	-5,232819E-1	4,156250E+2	-3,433520E-1	4,156250E+2	-5,173663E-1	4,156250E+2	-3,428847E-1	4,156250E+2	-4,989934E-1	4,156250E+2	-3,357387E-1
4,171875E+2	-5,394883E-1	4,171875E+2	-3,096513E-1	4,171875E+2	-5,332865E-1	4,171875E+2	-3,105077E-1	4,171875E+2	-5,337352E-1	4,171875E+2	-3,108668E-1	4,171875E+2	-5,050778E-1	4,171875E+2	-3,019318E-1
4,187500E+2	-5,531759E-1	4,187500E+2	-2,465010E-1	4,187500E+2	-5,459890E-1	4,187500E+2	-2,612715E-1	4,187500E+2	-5,416202E-1	4,187500E+2	-2,652985E-1	4,187500E+2	-5,167650E-1	4,187500E+2	-2,678464E-1
4,203125E+2	-5,470660E-1	4,203125E+2	-2,544125E-1	4,203125E+2	-5,507721E-1	4,203125E+2	-2,438252E-1	4,203125E+2	-5,509052E-1	4,203125E+2	-2,380156E-1	4,203125E+2	-5,279155E-1	4,203125E+2	-2,357509E-1
4,218750E+2	-5,480010E-1	4,218750E+2	-2,461848E-1	4,218750E+2	-5,504667E-1	4,218750E+2	-2,087555E-1	4,218750E+2	-5,511933E-1	4,218750E+2	-2,101682E-1	4,218750E+2	-5,295158E-1	4,218750E+2	-1,946952E-1
4,234375E+2	-5,549543E-1	4,234375E+2	-1,748546E-1	4,234375E+2	-5,579033E-1	4,234375E+2	-1,699516E-1	4,234375E+2	-5,588997E-1	4,234375E+2	-1,589559E-1	4,234375E+2	-5,361997E-1	4,234375E+2	-1,593240E-1
4,250000E+2	-5,667399E-1	4,250000E+2	-1,333949E-1	4,250000E+2	-5,598471E-1	4,250000E+2	-1,190907E-1	4,250000E+2	-5,583350E-1	4,250000E+2	-1,274224E-1	4,250000E+2	-5,373505E-1	4,250000E+2	-1,301097E-1
4,265625E+2	-5,718822E-1	4,265625E+2	-9,700312E-2	4,265625E+2	-5,611990E-1	4,265625E+2	-9,246868E-2	4,265625E+2	-5,582833E-1	4,265625E+2	-8,533039E-2	4,265625E+2	-5,373517E-1	4,265625E+2	-8,822826E-2
4,281250E+2	-5,557444E-1	4,281250E+2	-6,089460E-2	4,281250E+2	-5,585953E-1	4,281250E+2	-5,604154E-2	4,281250E+2	-5,543932E-1	4,281250E+2	-4,687553E-2	4,281250E+2	-5,393823E-1	4,281250E+2	-5,716131E-2
4,296875E+2	-5,514334E-1	4,296875E+2	-2,323660E-2	4,296875E+2	-5,545148E-1	4,296875E+2	-1,838843E-2	4,296875E+2	-5,516109E-1	4,296875E+2	-1,767499E-2	4,296875E+2	-5,301234E-1	4,296875E+2	-2,021494E-2
4,312500E+2	-5,460206E-1	4,312500E+2	1,076597E-2	4,312500E+2	-5,477137E-1	4,312500E+2	1,011476E-2	4,312500E+2	-5,431892E-1	4,312500E+2	1,733052E-2	4,312500E+2	-5,256795E-1	4,312500E+2	1,714309E-2
4,328125E+2	-5,421231E-1	4,328125E+2	5,021823E-2	4,328125E+2	-5,367975E-1	4,328125E+2	6,353343E-2	4,328125E+2	-5,314208E-1	4,328125E+2	6,229735E-2	4,328125E+2	-5,157472E-1	4,328125E+2	5,853390E-2
4,343750E+2	-5,326443E-1	4,343750E+2	9,164406E-2	4,343750E+2	-5,280785E-1	4,343750E+2	9,442966E-2	4,343750E+2	-5,271071E-1	4,343750E+2	9,445313E-2	4,343750E+2	-5,007121E-1	4,343750E+2	9,246379E-2
4,359375E+2	-5,161139E-1	4,359375E+2	1,285163E-1	4,359375E+2	-5,199818E-1	4,359375E+2	1,333090E-1	4,359375E+2	-5,186054E-1	4,359375E+2	1,288433E-1	4,359375E+2	-4,924462E-1	4,359375E+2	1,273094E-1
4,375000E+2	-5,030656E-1	4,375000E+2	1,705507E-1	4,375000E+2	-5,039670E-1	4,375000E+2	1,696134E-1	4,375000E+2	-4,970721E-1	4,375000E+2	1,774150E-1	4,375000E+2	-4,803182E-1	4,375000E+2	1,630625E-1
4,390625E+2	-4,885545E-1	4,390625E+2	2,012483E-1	4,390625E+2	-4,922038E-1	4,390625E+2	1,980731E-1	4,390625E+2	-4,837433E-1	4,390625E+2	2,042270E-1	4,390625E+2	-4,676978E-1	4,390625E+2	1,946430E-1
4,406250E+2	-4,673777E-1	4,406250E+2	2,350254E-1	4,406250E+2	-4,675932E-1	4,406250E+2	2,354626E-1	4,406250E+2	-4,664286E-1	4,406250E+2	2,348191E-1	4,406250E+2	-4,538148E-1	4,406250E+2	2,226470E-1
4,421875E+2	-4,545933E-1	4,421875E+2	2,635411E-1	4,421875E+2	-4,546041E-1	4,421875E+2	2,690308E-1	4,421875E+2	-4,551623E-1	4,421875E+2	2,645320E-1	4,421875E+2	-4,343500E-1	4,421875E+2	2,596105E-1
4,437500E+2	-4,364755E-1	4,437500E+2	3,031967E-1	4,437500E+2	-4,336617E-1	4,437500E+2	3,042931E-1	4,437500E+2	-4,330275E-1	4,437500E+2	3,062059E-1	4,437500E+2	-4,186790E-1	4,437500E+2	2,908271E-1
4,453125E+2	-4,166518E-1	4,453125E+2	3,296422E-1	4,453125E+2	-4,175295E-1	4,453125E+2	3,325992E-1	4,453125E+2	-4,142933E-1	4,453125E+2	3,347664E-1	4,453125E+2	-3,962332E-1	4,453125E+2	3,260297E-1
4,468750E+2	-3,883098E-1	4,468750E+2	3,659518E-1	4,468750E+2	-3,989645E-1	4,468750E+2	3,639676E-1	4,468750E+2	-3,903153E-1	4,468750E+2	3,634753E-1	4,468750E+2	-3,777092E-1	4,468750E+2	3,519962E-1
4,484375E+2	-3,688058E-1	4,484375E+2	3,912676E-1	4,484375E+2	-3,692413E-1	4,484375E+2	3,928265E-1	4,484375E+2	-3,633533E-1	4,484375E+2	3,963335E-1	4,484375E+2	-3,554694E-1	4,484375E+2	3,799684E-1
4,500000E+2	-3,504946E-1	4,500000E+2	4,190538E-1	4,500000E+2	-3,460940E-1	4,500000E+2	4,183831E-1	4,500000E+2	-3,443962E-1	4,500000E+2	4,199356E-1	4,500000E+2	-3,270475E-1	4,500000E+2	4,002355E-1
4,515625E+2	-3,217328E-1	4,515625E+2	4,496605E-1	4,515625E+2	-3,187823E-1	4,515625E+2	4,449450E-1	4,515625E+2	-3,185277E-1	4,515625E+2	4,469480E-1	4,515625E+2	-3,050166E-1	4,515625E+2	4,275270E-1
4,531250E+2	-2,980747E-1	4,531250E+2	4,651187E-1	4,531250E+2	-2,946837E-1	4,531250E+2	4,631141E-1	4,531250E+2	-2,897133E-1	4,531250E+2	4,656070E-1	4,531250E+2	-2,788141E-1	4,531250E+2	4,507850E-1
4,546875E+2	-2,718203E-1	4,546875E+2	4,865311E-1	4,546875E+2	-2,572000E-1	4,546875E+2	4,921907E-1	4,546875E+2	-2,592131E-1	4,546875E+2	4,875971E-1	4,546875E+2	-2,522029E-1	4,546875E+2	4,691262E-1
