Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	
4,312500E+2	7,017456E-1	4,312500E+2	6,999073E-1	4,312500E+2	7,046451E-1	4,312500E+2	7,233672E-1
4,328125E+2	7,035806E-1	4,328125E+2	7,078119E-1	4,328125E+2	7,137110E-1	4,328125E+2	7,305786E-1
4,343750E+2	7,078914E-1	4,343750E+2	7,122161E-1	4,343750E+2	7,132368E-1	4,343750E+2	7,407378E-1
4,359375E+2	7,171100E-1	4,359375E+2	7,118477E-1	4,359375E+2	7,144478E-1	4,359375E+2	7,412891E-1
4,375000E+2	7,178374E-1	4,375000E+2	7,172486E-1	4,375000E+2	7,214432E-1	4,375000E+2	7,427051E-1
4,390625E+2	7,208137E-1	4,390625E+2	7,185024E-1	4,390625E+2	7,242838E-1	4,390625E+2	7,433729E-1
4,406250E+2	7,263212E-1	4,406250E+2	7,259139E-1	4,406250E+2	7,273044E-1	4,406250E+2	7,444805E-1
4,421875E+2	7,238910E-1	4,421875E+2	7,209575E-1	4,421875E+2	7,228501E-1	4,421875E+2	7,439425E-1
4,437500E+2	7,175610E-1	4,437500E+2	7,193432E-1	4,437500E+2	7,187251E-1	4,437500E+2	7,401275E-1
4,453125E+2	7,177373E-1	4,453125E+2	7,150469E-1	4,453125E+2	7,162925E-1	4,453125E+2	7,367039E-1
4,468750E+2	7,152947E-1	4,468750E+2	7,083549E-1	4,468750E+2	7,155397E-1	4,468750E+2	7,334345E-1
4,484375E+2	7,108919E-1	4,484375E+2	7,093482E-1	4,484375E+2	7,108941E-1	4,484375E+2	7,292655E-1
4,500000E+2	7,015474E-1	4,500000E+2	7,051745E-1	4,500000E+2	7,050454E-1	4,500000E+2	7,328515E-1
4,515625E+2	6,942935E-1	4,515625E+2	7,004018E-1	4,515625E+2	6,987775E-1	4,515625E+2	7,241855E-1
4,531250E+2	6,948161E-1	4,531250E+2	6,986869E-1	4,531250E+2	6,992764E-1	4,531250E+2	7,190556E-1
4,546875E+2	6,894012E-1	4,546875E+2	6,915965E-1	4,546875E+2	6,950577E-1	4,546875E+2	7,163143E-1
4,562500E+2	6,863971E-1	4,562500E+2	6,895914E-1	4,562500E+2	6,894253E-1	4,562500E+2	7,077632E-1
4,578125E+2	6,805296E-1	4,578125E+2	6,783807E-1	4,578125E+2	6,779964E-1	4,578125E+2	7,018138E-1
4,593750E+2	6,802930E-1	4,593750E+2	6,729379E-1	4,593750E+2	6,683768E-1	4,593750E+2	6,891529E-1
4,609375E+2	6,690458E-1	4,609375E+2	6,649812E-1	4,609375E+2	6,687315E-1	4,609375E+2	6,874208E-1
4,625000E+2	6,566913E-1	4,625000E+2	6,546346E-1	4,625000E+2	6,603963E-1	4,625000E+2	6,812839E-1
4,640625E+2	6,517678E-1	4,640625E+2	6,443767E-1	4,640625E+2	6,492602E-1	4,640625E+2	6,734781E-1
4,656250E+2	6,477986E-1	4,656250E+2	6,379254E-1	4,656250E+2	6,383872E-1	4,656250E+2	6,695208E-1
4,671875E+2	6,204835E-1	4,671875E+2	6,281554E-1	4,671875E+2	6,314180E-1	4,671875E+2	6,580167E-1
4,687500E+2	6,163132E-1	4,687500E+2	6,244663E-1	4,687500E+2	6,271519E-1	4,687500E+2	6,507254E-1
4,703125E+2	6,112391E-1	4,703125E+2	6,149552E-1	4,703125E+2	6,175116E-1	4,703125E+2	6,431190E-1
4,718750E+2	5,989963E-1	4,718750E+2	6,025409E-1	4,718750E+2	6,036030E-1	4,718750E+2	6,338915E-1
4,734375E+2	5,774376E-1	4,734375E+2	5,866411E-1	4,734375E+2	5,894926E-1	4,734375E+2	6,115849E-1
4,750000E+2	5,772883E-1	4,750000E+2	5,882074E-1	4,750000E+2	5,858004E-1	4,750000E+2	6,014373E-1
4,765625E+2	5,766582E-1	4,765625E+2	5,875649E-1	4,765625E+2	5,865154E-1	4,765625E+2	5,997904E-1
4,781250E+2	5,679989E-1	4,781250E+2	5,690429E-1	4,781250E+2	5,784102E-1	4,781250E+2	5,968693E-1
4,796875E+2	5,618103E-1	4,796875E+2	5,586462E-1	4,796875E+2	5,654538E-1	4,796875E+2	5,841969E-1
4,812500E+2	5,585868E-1	4,812500E+2	5,598309E-1	4,812500E+2	5,534895E-1	4,812500E+2	5,769630E-1
4,828125E+2	5,462028E-1	4,828125E+2	5,401143E-1	4,828125E+2	5,431064E-1	4,828125E+2	5,601435E-1
4,843750E+2	5,277817E-1	4,843750E+2	5,253863E-1	4,843750E+2	5,283147E-1	4,843750E+2	5,463728E-1
4,859375E+2	5,115202E-1	4,859375E+2	5,126278E-1	4,859375E+2	5,161379E-1	4,859375E+2	5,320881E-1
4,875000E+2	5,221538E-1	4,875000E+2	5,139645E-1	4,875000E+2	5,172825E-1	4,875000E+2	5,348455E-1
4,890625E+2	5,186006E-1	4,890625E+2	5,084362E-1	4,890625E+2	5,180369E-1	4,890625E+2	5,333069E-1
4,906250E+2	5,024154E-1	4,906250E+2	4,992086E-1	4,906250E+2	5,061496E-1	4,906250E+2	5,228405E-1
4,921875E+2	4,883599E-1	4,921875E+2	4,948363E-1	4,921875E+2	4,955317E-1	4,921875E+2	5,099726E-1
4,937500E+2	4,741516E-1	4,937500E+2	4,778072E-1	4,937500E+2	4,757532E-1	4,937500E+2	4,946680E-1
4,953125E+2	4,557045E-1	4,953125E+2	4,597763E-1	4,953125E+2	4,617373E-1	4,953125E+2	4,876242E-1
4,968750E+2	4,797491E-1	4,968750E+2	4,781635E-1	4,968750E+2	4,804836E-1	4,968750E+2	5,026379E-1
4,984375E+2	4,680771E-1	4,984375E+2	4,688891E-1	4,984375E+2	4,715243E-1	4,984375E+2	4,899443E-1
5,000000E+2	4,559541E-1	5,000000E+2	4,586293E-1	5,000000E+2	4,584048E-1	5,000000E+2	4,806690E-1
5,015625E+2	4,406347E-1	5,015625E+2	4,519985E-1	5,015625E+2	4,419964E-1	5,015625E+2	4,631800E-1
5,031250E+2	4,438468E-1	5,031250E+2	4,506008E-1	5,031250E+2	4,398790E-1	5,031250E+2	4,603757E-1
5,046875E+2	4,169008E-1	5,046875E+2	4,123970E-1	5,046875E+2	4,179595E-1	5,046875E+2	4,352642E-1
5,062500E+2	4,084042E-1	5,062500E+2	4,018233E-1	5,062500E+2	4,024663E-1	5,062500E+2	4,250677E-1
5,078125E+2	3,983587E-1	5,078125E+2	4,037006E-1	5,078125E+2	3,968109E-1	5,078125E+2	4,150468E-1
5,093750E+2	3,813643E-1	5,093750E+2	3,886491E-1	5,093750E+2	3,892705E-1	5,093750E+2	4,030359E-1
5,109375E+2	3,410358E-1	5,109375E+2	3,692337E-1	5,109375E+2	3,758228E-1	5,109375E+2	3,991350E-1
5,125000E+2	3,698771E-1	5,125000E+2	3,749380E-1	5,125000E+2	3,784435E-1	5,125000E+2	4,030457E-1
5,140625E+2	4,159690E-1	5,140625E+2	3,847374E-1	5,140625E+2	3,826078E-1	5,140625E+2	4,007881E-1
5,156250E+2	3,765626E-1	5,156250E+2	3,645939E-1	5,156250E+2	3,686641E-1	5,156250E+2	3,813661E-1
5,171875E+2	3,697836E-1	5,171875E+2	3,732932E-1	5,171875E+2	3,766358E-1	5,171875E+2	3,866249E-1
5,187500E+2	3,943395E-1	5,187500E+2	3,803673E-1	5,187500E+2	3,841738E-1	5,187500E+2	3,981455E-1
5,203125E+2	3,970431E-1	5,203125E+2	3,716931E-1	5,203125E+2	3,688011E-1	5,203125E+2	3,909039E-1
5,218750E+2	4,061867E-1	5,218750E+2	3,771196E-1	5,218750E+2	3,813703E-1	5,218750E+2	4,020396E-1
5,234375E+2	3,748788E-1	5,234375E+2	3,644857E-1	5,234375E+2	3,601696E-1	5,234375E+2	3,796674E-1
5,250000E+2	3,409887E-1	5,250000E+2	3,445796E-1	5,250000E+2	3,438811E-1	5,250000E+2	3,657323E-1
5,265625E+2	3,634576E-1	5,265625E+2	3,465824E-1	5,265625E+2	3,446860E-1	5,265625E+2	3,612862E-1
5,281250E+2	3,535110E-1	5,281250E+2	3,526528E-1	5,281250E+2	3,497501E-1	5,281250E+2	3,590379E-1
5,296875E+2	3,148234E-1	5,296875E+2	3,377027E-1	5,296875E+2	3,425362E-1	5,296875E+2	3,512801E-1
5,312500E+2	3,022290E-1	5,312500E+2	3,277219E-1	5,312500E+2	3,229806E-1	5,312500E+2	3,331202E-1
5,328125E+2	2,983976E-1	5,328125E+2	3,174599E-1	5,328125E+2	3,160230E-1	5,328125E+2	3,284777E-1
5,343750E+2	3,040436E-1	5,343750E+2	2,914245E-1	5,343750E+2	2,868795E-1	5,343750E+2	2,992132E-1
5,359375E+2	3,231785E-1	5,359375E+2	3,067873E-1	5,359375E+2	2,998238E-1	5,359375E+2	3,137710E-1
5,375000E+2	3,247851E-1	5,375000E+2	3,120455E-1	5,375000E+2	3,055049E-1	5,375000E+2	3,282565E-1
5,390625E+2	2,939006E-1	5,390625E+2	2,950994E-1	5,390625E+2	2,959991E-1	5,390625E+2	3,124508E-1
5,406250E+2	2,824456E-1	5,406250E+2	2,881339E-1	5,406250E+2	2,885424E-1	5,406250E+2	2,935534E-1
5,421875E+2	2,683381E-1	5,421875E+2	2,780540E-1	5,421875E+2	2,768671E-1	5,421875E+2	2,922834E-1
5,437500E+2	3,262485E-1	5,437500E+2	2,899990E-1	5,437500E+2	2,957200E-1	5,437500E+2	3,059966E-1
5,453125E+2	2,883245E-1	5,453125E+2	2,953134E-1	5,453125E+2	2,854839E-1	5,453125E+2	3,001712E-1
5,468750E+2	2,625647E-1	5,468750E+2	2,889974E-1	5,468750E+2	2,897356E-1	5,468750E+2	3,044034E-1
5,484375E+2	2,896113E-1	5,484375E+2	2,918921E-1	5,484375E+2	2,965802E-1	5,484375E+2	3,055031E-1
5,500000E+2	2,524584E-1	5,500000E+2	2,656711E-1	5,500000E+2	2,733025E-1	5,500000E+2	2,813962E-1
5,515625E+2	2,486874E-1	5,515625E+2	2,482265E-1	5,515625E+2	2,547918E-1	5,515625E+2	2,634695E-1
5,531250E+2	2,174878E-1	5,531250E+2	2,292185E-1	5,531250E+2	2,299344E-1	5,531250E+2	2,422847E-1
5,546875E+2	2,260510E-1	5,546875E+2	2,433551E-1	5,546875E+2	2,497537E-1	5,546875E+2	2,589606E-1
5,562500E+2	2,489661E-1	5,562500E+2	2,527516E-1	5,562500E+2	2,608209E-1	5,562500E+2	2,616890E-1
5,578125E+2	2,721515E-1	5,578125E+2	2,625720E-1	5,578125E+2	2,680954E-1	5,578125E+2	2,719428E-1
5,593750E+2	2,916215E-1	5,593750E+2	2,486412E-1	5,593750E+2	2,548573E-1	5,593750E+2	2,578993E-1
5,609375E+2	2,467133E-1	5,609375E+2	2,234846E-1	5,609375E+2	2,321678E-1	5,609375E+2	2,472803E-1
5,625000E+2	2,058692E-1	5,625000E+2	2,248606E-1	5,625000E+2	2,303541E-1	5,625000E+2	2,459811E-1
5,640625E+2	2,115179E-1	5,640625E+2	2,184899E-1	5,640625E+2	2,297925E-1	5,640625E+2	2,386667E-1
5,656250E+2	2,223707E-1	5,656250E+2	2,433429E-1	5,656250E+2	2,352873E-1	5,656250E+2	2,472467E-1
5,671875E+2	2,441005E-1	5,671875E+2	2,505083E-1	5,671875E+2	2,489827E-1	5,671875E+2	2,580125E-1
5,687500E+2	2,671991E-1	5,687500E+2	2,284736E-1	5,687500E+2	2,328088E-1	5,687500E+2	2,501484E-1
5,703125E+2	2,326176E-1	5,703125E+2	2,275591E-1	5,703125E+2	2,264479E-1	5,703125E+2	2,376103E-1
5,718750E+2	2,353839E-1	5,718750E+2	2,105909E-1	5,718750E+2	2,118722E-1	5,718750E+2	2,266614E-1
5,734375E+2	2,418739E-1	5,734375E+2	2,225546E-1	5,734375E+2	2,227796E-1	5,734375E+2	2,329467E-1
5,750000E+2	2,036336E-1	5,750000E+2	2,076838E-1	5,750000E+2	2,147147E-1	5,750000E+2	2,165851E-1
5,765625E+2	2,290814E-1	5,765625E+2	2,203893E-1	5,765625E+2	2,251309E-1	5,765625E+2	2,262618E-1
5,781250E+2	2,138240E-1	5,781250E+2	2,331839E-1	5,781250E+2	2,221357E-1	5,781250E+2	2,319912E-1
5,796875E+2	1,952706E-1	5,796875E+2	2,151232E-1	5,796875E+2	2,052294E-1	5,796875E+2	2,224846E-1
5,812500E+2	2,079322E-1	5,812500E+2	2,128861E-1	5,812500E+2	2,125877E-1	5,812500E+2	2,326852E-1
5,828125E+2	2,045210E-1	5,828125E+2	2,081271E-1	5,828125E+2	2,040155E-1	5,828125E+2	2,121257E-1
5,843750E+2	2,127725E-1	5,843750E+2	2,088288E-1	5,843750E+2	2,048983E-1	5,843750E+2	2,104098E-1
5,859375E+2	2,410552E-1	5,859375E+2	2,104727E-1	5,859375E+2	2,161917E-1	5,859375E+2	2,251880E-1
5,875000E+2	2,189336E-1	5,875000E+2	2,068972E-1	5,875000E+2	2,077234E-1	5,875000E+2	2,145983E-1
5,890625E+2	1,912016E-1	5,890625E+2	2,129271E-1	5,890625E+2	2,055402E-1	5,890625E+2	2,146294E-1
5,906250E+2	2,137350E-1	5,906250E+2	2,040136E-1	5,906250E+2	1,960890E-1	5,906250E+2	2,024361E-1
5,921875E+2	2,438632E-1	5,921875E+2	2,052548E-1	5,921875E+2	2,014390E-1	5,921875E+2	2,042783E-1
5,937500E+2	2,162349E-1	5,937500E+2	2,114693E-1	5,937500E+2	2,082352E-1	5,937500E+2	2,177638E-1
5,953125E+2	1,940485E-1	5,953125E+2	1,874003E-1	5,953125E+2	1,910364E-1	5,953125E+2	1,977689E-1
5,968750E+2	2,178670E-1	5,968750E+2	1,993931E-1	5,968750E+2	2,016896E-1	5,968750E+2	2,061303E-1
5,984375E+2	2,217755E-1	5,984375E+2	2,005766E-1	5,984375E+2	2,088827E-1	5,984375E+2	2,108843E-1
6,000000E+2	2,194280E-1	6,000000E+2	2,067404E-1	6,000000E+2	2,106546E-1	6,000000E+2	2,157292E-1
6,015625E+2	2,084062E-1	6,015625E+2	1,961563E-1	6,015625E+2	1,933952E-1	6,015625E+2	2,076050E-1
6,031250E+2	1,844856E-1	6,031250E+2	1,858904E-1	6,031250E+2	1,840312E-1	6,031250E+2	1,938898E-1
6,046875E+2	1,985739E-1	6,046875E+2	1,893702E-1	6,046875E+2	1,865671E-1	6,046875E+2	2,012506E-1
6,062500E+2	2,037955E-1	6,062500E+2	1,953073E-1	6,062500E+2	1,881444E-1	6,062500E+2	2,010280E-1
6,078125E+2	1,868820E-1	6,078125E+2	1,966794E-1	6,078125E+2	1,954641E-1	6,078125E+2	1,988636E-1
6,093750E+2	1,983467E-1	6,093750E+2	1,978623E-1	6,093750E+2	1,997268E-1	6,093750E+2	2,094013E-1
6,109375E+2	1,937904E-1	6,109375E+2	1,902468E-1	6,109375E+2	1,925322E-1	6,109375E+2	2,014148E-1
6,125000E+2	1,912801E-1	6,125000E+2	1,849008E-1	6,125000E+2	1,780999E-1	6,125000E+2	1,889534E-1
6,140625E+2	1,847358E-1	6,140625E+2	1,806930E-1	6,140625E+2	1,823675E-1	6,140625E+2	1,869819E-1
6,156250E+2	1,832116E-1	6,156250E+2	1,902661E-1	6,156250E+2	1,855338E-1	6,156250E+2	1,862341E-1
6,171875E+2	2,006744E-1	6,171875E+2	1,870264E-1	6,171875E+2	1,795721E-1	6,171875E+2	1,856391E-1
6,187500E+2	1,855648E-1	6,187500E+2	1,805014E-1	6,187500E+2	1,803573E-1	6,187500E+2	1,885594E-1
6,203125E+2	1,955558E-1	6,203125E+2	1,805697E-1	6,203125E+2	1,828917E-1	6,203125E+2	1,946467E-1
6,218750E+2	1,825887E-1	6,218750E+2	1,833263E-1	6,218750E+2	1,796224E-1	6,218750E+2	1,868503E-1
6,234375E+2	1,783802E-1	6,234375E+2	1,813194E-1	6,234375E+2	1,678472E-1	6,234375E+2	1,832908E-1
6,250000E+2	1,691226E-1	6,250000E+2	1,655914E-1	6,250000E+2	1,644656E-1	6,250000E+2	1,712590E-1
6,265625E+2	1,540293E-1	6,265625E+2	1,648033E-1	6,265625E+2	1,674991E-1	6,265625E+2	1,761694E-1
6,281250E+2	1,734983E-1	6,281250E+2	1,731857E-1	6,281250E+2	1,757735E-1	6,281250E+2	1,831701E-1
6,296875E+2	1,692900E-1	6,296875E+2	1,573290E-1	6,296875E+2	1,652295E-1	6,296875E+2	1,687023E-1
6,312500E+2	1,752500E-1	6,312500E+2	1,658196E-1	6,312500E+2	1,637304E-1	6,312500E+2	1,711259E-1
6,328125E+2	1,677474E-1	6,328125E+2	1,670961E-1	6,328125E+2	1,637560E-1	6,328125E+2	1,691375E-1
